OBJECTID,ID,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,ObservationDate_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_baseline,LocationNotes,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials_2023,ObservationDate_2023,Editor,SHADE,ORNAMENTAL,EVERGREEN,LONGITUDE,LATITUDE,POINT_X,POINT_Y,Scientific.Name,geometry,FORESTER
319,11164,Pin Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.4,4.5,NA,,10.5,4.46,Alive,N,1,Fair,"By Road, extensive trunk damage",along south bridge st-CHANGED FROM GB,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172268.1418,883881.114,-71.83581275,42.2048881,Quercus palustris,,CP
320,11166,Pin Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.3,4.5,NA,,10,5.25,Alive,N,2,Good,By road,along south bridge st-CHANGED FROM GB,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172273.2006,883884.6424,-71.83575166,42.20492005,Quercus palustris,,CP
321,11162,Pin Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,along south bridge st-CHANGED FROM GB,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,172278.7842,883889.9958,NA,NA,Quercus palustris,,CP
322,11165,Pin Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,10,5,Alive,N,1,Good,"Root damage from lawn mower, by road",along south bridge st-CHANGED FROM GB,MP,INST,10.6,54,NA,NA,31,28.5,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172284.0177,883895.1938,-71.83562118,42.20501543,Quercus palustris,,CP
323,11163,Pin Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1,4.5,NA,,10,4.08,Alive,N,2,Poor,By Road,along south bridge st-CHANGED FROM GB,MP,INST,11,54,NA,NA,25,29.5,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172289.7359,883900.6613,-71.8355522,42.20506485,Quercus palustris,,CP
324,11167,Pin Oak,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.7,4.5,NA,,11,7.21,Alive,N,1,Good,"Lumpy disease in leaves, trunk damage. By road.",along south bridge st-CHANGED FROM GB,MP,INST,,,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172302.591,883913.6429,-71.83539715,42.20518218,Quercus palustris,,CP
325,11107,Honeylocust,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,1.1,4.5,NA,,11,4.95,Alive,N,1,Good,basal damage,in parking area,MP,INST,6.7,35,NA,NA,19.7,23.5,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,1,0,0,172243.3554,883920.6114,-71.83611478,42.20524282,Gleditsia triacanthos,,CP
326,11096,Colorado Spruce,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,3.8,1,NA,,5.8,4.35,Alive,N,1,Good,"scraggly, some dieback",in track area near south bridge st,MP,INST,6.2,54,NA,NA,15.2,11,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,0,0,1,172285.7341,883921.9136,-71.83560167,42.20525604,Picea pungens,,CP
327,11095,Colorado Spruce,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,3.5,1,NA,,6,4.9,Alive,N,1,Good,,in track area near south bridge st,MP,INST,4.4,54,NA,NA,11.2,9.5,Alive,N,1,Good,NA,JA CK FW,9/14/2023,JaAndrews_clarku,0,0,1,172277.4309,883923.0267,-71.83570227,42.20526577,Picea pungens,,CP
328,11094,Colorado Spruce,AUBURN ST,99,Auburn,Fall 2011,6/20/2014,MP,INST,NA, ,NA, ,NA,NA,NA,N,NA,, ,in parking area near south bridge st,MP,INST,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,0,0,1,172265.7214,883927.2892,NA,NA,Picea pungens,,CP
