Column Name,Units,Description,Conversion Key Dictionary
OBJECTID',integer,Index unique to this table,
 'ID',integer,"Unique index shared with tables ""DCRreplanted141516gisfieldmap.csv"", ""LBSurvey23,csv"", and ""Dataset_for_final_analysis_fall23.csv""",
 'SPECIES',,,
 'STREET',,,
 'HOUSE_NUMBER',,,
 'TOWN',,,
 'SEASON_PLANTED',,,
 'ObservationDate_baseline',MM/DD/YYYY,"Baseline surveys took place in 2014, 2015, and 2016. When a tree was observed in more than one of these years, I used the date and data from the most recent date. This goes for all baseline biometric data. ",
 'SiteType_baseline',,"Should be 'BY', 'FY', 'MP', 'SY', 'Natural Area', or ""UNKNOWN"" (Backyard, Front Yard, Maintained Park, Side Yard). This column has many data entry errors. Could transpose with values from ""SiteType_2023"" (Tree has not changed location)",
 'LandUse_baseline',,"Should be 'INST', 'MFR', 'SFR-A', 'SFR-D' or ""UNKNOWN"" (Institution, Multi-Family Residence, Single Family Residence Attached, Single Family Residence Detached). This column has many data entry errors. Could transpose with values from ""SiteType_2023"" (Tree has not changed location)",
 'DBH_baseline',inches,,
 'DBH_Height_baseline',inches,,
 'DBH2_baseline',inches,,
 'DBH2_Height_baseline',inches,,
 'Height_baseline',feet decimal,,
 'Width_baseline',feet decimal,,
 'Mortality_baseline',,"""Alive"",""Removed"", ""Standing Dead"", ""Stump"", or ""Unknown""","    'NA': 'NA',
    'Alive': 'Alive',
    'Removed/Missing': 'Removed',
    '': 'NA',
    'Standing Dead': 'Standing Dead',
    'Removed/missing': 'Removed',
    'Unknown': 'Unknown',
    'Remove/Missing': 'Removed',
    'N/A': 'NA',
    'Removed / missing': 'Removed',
    'Unkown': 'Unknown',
    'Stump': 'Stump',
    'Removed/Missng': 'Removed',
    'Removed ': 'Removed'"
 'BasalSprouts_baseline',,"""N"" or ""Y""","    'No': 'N',
    'Yes': 'Y',
    'Y(lots!)': 'Y'"
 'Vigor_baseline',,"""1"", ""2"", ""3"", or ""4""","    '0': '',
    '1-25 %': '1',
    '26-50 %': '2'"
 'Condition_baseline',,"Good', 'Fair' or 'Poor'","    '0': '',
    ' ': '',
    '18': 'Good',
    'Removed/Missing': '',
    'Critical': 'Poor'"
 'Comments_baseline',,,
 'NOTES_baseline',,,
 'SiteType_2023',,"'BY', 'FY', 'MP', 'SY', 'Natural Area', or ""UNKNOWN"" (Backyard, Front Yard, Maintained Park, Side Yard)",
 'LandUse_2023',,"'INST', 'MFR', 'SFR-A', 'SFR-D' or ""UNKNOWN"" (Institution, Multi-Family Residence, Single Family Residence Attached, Single Family Residence Detached)",
 'DBH_2023',inches,,
 'DBH_Height_2023',inches,,
 'DBH2_2023',inches,,
 'DBH2_Height_2023',inches,,
 'Height_2023',feet decimal,,
 'Width_2023',feet decimal,,
 'Mortality_2023',,"""Alive"",""Removed"", ""Standing Dead"", ""Stump"", or ""Unknown""",
 'BasalSprouts_2023',,"""N"" or ""Y""","0': 'N',
'1': 'Y'"
 'Vigor_2023',,"""1"", ""2"", ""3"", or ""4"" I changed '0' and '5' to '' because we don' collect this data for dead trees"," '0': '',
  '5': ''"
 'Condition_2023',,"Good', 'Fair' or 'Poor'",
 'Comments_2023',,,
 'Crew_Initials_2023',,,
 'ObservationDate_2023',,,
 'Editor',,Whoever entered the data during 2023 survey,
 'SHADE',,"0 or ""1""",
 'ORNAMENTAL',,"""0"" or ""1""",
 'EVERGREEN',,"0 or ""1""",
 'LONGITUDE',MA State Plane,,
 'LATITUDE',MA State Plane,,
 'POINT_X',EPSG 4326,,
 'POINT_Y',EPSG 4326,,
 'Scientific.Name',,,
 'geometry',,,
 'FORESTER',,,
