OBJECTID,ID,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,ObservationDate_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_baseline,NOTES_baseline,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials_2023,EditDate,Editor,SHADE,ORNAMENTAL,EVERGREEN,LONGITUDE,LATITUDE,POINT_X,POINT_Y,Scientific.Name
1,12816,Cherry,ABBEY RD,15,Boylston,Fall 2011,9/7/2015,BY,SFR-D,1.91, ,0, ,12,8.21,Alive,N,1,Good, ,to right of shed along forest edge-CHANGED FROM WF,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,0,1,0,180030.3804,896914.6165,NA,NA,
2,12817,Fringetree,ABBEY RD,15,Boylston,Fall 2011,9/7/2015,BY,SFR-D,0.6, ,0.4, ,6,5.46,Alive,N,1,Good, ,triangled between existing trees right side centered on driveway,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,180030.3805,896914.6166,NA,NA,
3,13377,Littleleaf Linden,ABBEY RD,18,Boylston,Spring 2011,9/7/2015 0:00,FY,SFR-D,2,,0,,12,7.63,Alive,N,1,Good,,Left side of front yard 10' off road 4 of 4,FY,SFR-D,5.3,54,NA,NA,24.9,14,Alive,N,1,Good,NA,JA FW,9/13/2023 21:37,JaAndrews_clarku,1,0,0,180030.3806,896914.6167,-71.74226653,42.32246439,
4,13376,Littleleaf Linden,ABBEY RD,18,Boylston,Spring 2011,9/7/2015 0:00,FY,SFR-D,1.8,,0,,10.58,6.58,Alive,N,1,Good,,Left side of front yard 10' off road 3 of 4,FY,SFR-D,6.1,40,NA,NA,18,14,Alive,N,1,Fair,Crack in Stem,JA FW,9/13/2023 21:37,JaAndrews_clarku,1,0,0,180030.3807,896914.6168,-71.74226653,42.32246439,
5,13378,Littleleaf Linden,ABBEY RD,18,Boylston,Spring 2011,9/7/2015 0:00,FY,SFR-D,1.92,,0,,12,6.67,Alive,N,1,Good,,Left side of property 10' off road 2 of 4,FY,SFR-D,6.8,54,NA,NA,25.1,17,Alive,Y,1,Good,NA,JA FW,9/13/2023 21:37,JaAndrews_clarku,1,0,0,180030.3808,896914.6169,-71.74226653,42.32246439,
6,13393,Littleleaf Linden,ABBEY RD,18,Boylston,Spring 2011,9/7/2015 0:00,FY,SFR-D,2.35,,0,,13.5,7.71,Alive,N,1,Good,,Left side of property 10' off road 1 of 4,FY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA FW,9/13/2023 21:37,JaAndrews_clarku,1,0,0,180030.3809,896914.617,-71.74226652,42.32246439,
7,13396,Beech,ABBEY RD,18,Boylston,Spring 2011,6/19/2014 0:00,FY,SFR-D,NA, ,NA, ,NA,NA,Removed,N,NA, , ,Right side of yard 10' off road centered in right window,FY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,1,0,0,180030.381,896914.6171,NA,NA,
14,13370,Kousa Dogwood,ABBEY RD,18,Boylston,Spring 2011,9/7/2015,BY,SFR-D,0, ,0, ,0,0,Removed,N,NA, , ,At fence between patio and shed,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,NA,NA,0,1,0,180030.3817,896914.6178,NA,NA,
15,13346,Japanese Tree Lilac,ABBEY RD,10,Boylston,Spring 2011,7/9/2015 0:00,BY,SFR-D,0,,0,,0,0,Alive,N,NA,,"New fence, no permisson to enter neighbor's property",3' from drvie on right 10' from rd 1of 3,FY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA CK,9/13/2023 21:37,JaAndrews_clarku,0,0,1,180030.3818,896914.6179,-71.74226651,42.3224644,
17,13373,Kousa Dogwood,ABBEY RD,18,Boylston,Spring 2011,9/7/2015 0:00,FY,SFR-D,0.72,,0,,8.58,2.67,Alive,N,3,Poor,,see map,FY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,JA FW,9/13/2023 21:37,JaAndrews_clarku,0,1,0,180030.382,896914.6181,-71.74226651,42.3224644,
