OBJECTID,ID,OID_,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,Observation_Date_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_1,Comments_2,Comments_3,NOTES,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials,SHADE,ORNAMENTAL,EVERGREEN,EditDate,Editor,x,y,Scientific.Name
1,956,110,Sargent Cherry,ACUSHNET AVE,9,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FY,SFR-D,7.3,34,0,0,13.8,18,Alive,0,1,Good,,AP RC CK,0,1,0,6/13/2023,apai_clarku,,,Prunus sargentii
2,962,34,Dawn Redwood,AIRLIE ST,70,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,2,4.5,0,,11.16666667,5.833333333,Alive,N,1-25%,Good,,,,,BY,SFR-D,3.8,54,0,0,11,8,Alive,0,2,Poor,,"KS, TH, NG",0,0,1,6/6/2023,THonnef_clarku,,,Metasequoia glyptostroboides
3,963,48,Serviceberry,AIRLIE ST,70,Worcester,Fall 2010,6/23/2015,Front yard,Single-family,0.84,4.5,0,,10,9.791666667,Alive,N,1-25%,Good,,,,,FY,SFR-D,4,8,4.5,8,17,18.25,Alive,1,1,Good,Some orange-ish leaves but looks good overall,AP AN RC,0,1,0,6/6/2023,apai_clarku,,,Amelanchier
4,964,35,Swamp White Oak,AIRLIE ST,70,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,0.96,4.5,0,,9.75,4.375,Alive,N,1-25%,Good,,Trunk damage at base,,,BY,SFR-D,3.7,54,0,0,18.9,18,Alive,0,2,Good,Tree is a red oak,"KS, NG, TH",1,0,0,6/6/2023,THonnef_clarku,,,Quercus bicolor
5,965,38,Blackgum,AIRLIE ST,74,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,0.33,4.5,0,,5.666666667,5.791666667,Alive,N,1-25%,Good,,,,,BY,SFR-D,3.8,54,0,0,16,12.5,Alive,0,1,Good,Resident moved tree from initial location,AN JA CK,1,0,0,7/6/2023,ANelson_clarku,,,Nyssa sylvatica
6,966,40,Kousa Dogwood,AIRLIE ST,74,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,1.38,4.5,0,,9.833333333,8.25,Alive,N,1-25%,Good,,,,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,"cb, ck, ar",0,1,0,6/6/2023,CBate_clarku,,,Cornus kousa
7,967,37,Kousa Dogwood,AIRLIE ST,74,Worcester,Fall 2010,6/25/2014,Back Yard,Single-family,0,0,0,0,0,0,Removed/Missing,N,0,0,,,,,BY,SFR-D,2.1,54,0,0,12.5,10.5,Alive,0,1,Good,"Tree is here, slightly different location",AN JA CK,0,1,0,7/6/2023,ANelson_clarku,,,Cornus kousa
8,968,36,White Fir,AIRLIE ST,74,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,0,,0,,0,0,Removed/Missing,,,,,,,,BY,SFR-D,6.6,54,0,0,26.6,14,Alive,0,1,Good,,"cb, ck, ar",0,0,1,6/6/2023,CBate_clarku,,,Abies concolor
9,969,61,Red Oak,AIRLIE ST,87,Worcester,Fall 2010,6/23/2015,Back Yard,Single Family,0.81,4.5,0,,7,5.916666667,Alive,N,1-25%,Good,Leaning,,,,BY,SFR-D,7.2,0,0,0,32.6,20,Alive,0,1,Good,,"cb, rc, ar",1,0,0,7/6/2023,ANelson_clarku,,,Quercus rubra
10,970,66,White Fir,AIRLIE ST,93,Worcester,Fall 2010,6/24/2015,Back Yard,Single-family,3,4.5,0,,10.58333333,7.25,Alive,N,1-25%,Good,,Birds nest in tree,,,BY,SFR-D,9.3,54,0,0,23,16,Alive,0,1,Good,"Looking healthy, bottom of the back was wrecked by nephew",,0,0,1,6/6/2023,apai_clarku,,,Abies concolor
11,971,67,White Fir,AIRLIE ST,93,Worcester,Fall 2010,6/24/2015,Back Yard,Single-family,3.05,4.5,0,,11.5,6.770833333,Alive,N,1-25%,Good,,,,,BY,SFR-D,9.9,54,0,0,23,15,Alive,0,2,Fair,"Bottom is bare and some needles are red, no chemicals used, not much pruning,",AP RC AN,0,0,1,6/6/2023,apai_clarku,,,Abies concolor
12,987,144,Japanese Tree Lilac,ANDOVER ST,46,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,BY,MFR,4.1,0,0,0,15.6,10,Alive,0,1,Good,,"cb, ap, ks",0,1,0,6/8/2023,CBate_clarku,,,Syringa reticulata
13,1019,237,Crabapple,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,Tree was missing in overgrown unmanaged area dominated by black locusts and sumac trees (see photo),AN RC CK,0,1,0,6/8/2023,ANelson_clarku,,,Malus sylvestris 
14,1020,245,Crabapple,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,In same area as tree 1019,AN CK RC,0,1,0,6/8/2023,ANelson_clarku,,,Malus sylvestris 
15,1021,241,Crabapple,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,"CK, an, rc",0,1,0,6/8/2023,CKluchman_clarku,,,Malus sylvestris 
16,1022,240,Kousa Dogwood,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CKANRC,0,1,0,6/8/2023,racolon_clarku,,,Cornus kousa
17,1023,244,Kousa Dogwood,ARARAT ST,1,Worcester,Fall 2010,1899-12-30,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CKANRC,0,1,0,6/8/2023,racolon_clarku,,,Cornus kousa
