OBJECTID,ID,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,ObservationDate_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_baseline,NOTES_baseline,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials_2023,EditDate,Editor,SHADE,ORNAMENTAL,EVERGREEN,LONGITUDE,LATITUDE,POINT_X,POINT_Y,Scientific.Name
1,956,Sargent Cherry,ACUSHNET AVE,9,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,FY,SFR-D,7.3,34,0,0,13.8,18,Alive,0,1,Good,,AP RC CK,6/13/2023,apai_clarku,0,1,0,176544.0122,895288.285,-71.7844962,42.30772588,Prunus sargentii
2,962,Dawn Redwood,AIRLIE ST,70,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,2,4.5,0,,11.16666667,5.833333333,Alive,N,1,Good,  ,,BY,SFR-D,3.8,54,0,0,11,8,Alive,0,2,Poor,,KS TH NG,6/6/2023,THonnef_clarku,0,0,1,175670.2522,895222.6034,-71.79509114,42.30710784,Metasequoia glyptostroboides
3,963,Serviceberry,AIRLIE ST,70,Worcester,Fall 2010,6/23/2015,Front yard,Single-family,0.84,4.5,0,,10,9.791666667,Alive,N,1,Good,  ,,FY,SFR-D,4,8,4.5,8,17,18.25,Alive,1,1,Good,Some orange-ish leaves but looks good overall,AP AN RC,6/6/2023,apai_clarku,0,1,0,175649.0134,895268.2793,-71.79535066,42.30751839,Amelanchier
4,964,Swamp White Oak,AIRLIE ST,70,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,0.96,4.5,0,,9.75,4.375,Alive,N,1,Good, Trunk damage at base ,,BY,SFR-D,3.7,54,0,0,18.9,18,Alive,0,2,Good,Tree is a red oak,KS NG TH,6/6/2023,THonnef_clarku,1,0,0,175678.7047,895225.9818,-71.79498876,42.30713852,Quercus bicolor
5,965,Blackgum,AIRLIE ST,74,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,0.33,4.5,0,,5.666666667,5.791666667,Alive,N,1,Good,  ,,BY,SFR-D,3.8,54,0,0,16,12.5,Alive,0,1,Good,Resident moved tree from initial location,AN JA CK,7/6/2023,ANelson_clarku,1,0,0,175692.9196,895233.8179,-71.79481668,42.30720951,Nyssa sylvatica
6,966,Kousa Dogwood,AIRLIE ST,74,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,1.38,4.5,0,,9.833333333,8.25,Alive,N,1,Good,  ,,BY,SFR-D,0,0,0,0,0,0,Removed,0,0,,,CB CK AR,6/6/2023,CBate_clarku,0,1,0,175695.9027,895236.0393,-71.79478059,42.3072296,Cornus kousa
7,967,Kousa Dogwood,AIRLIE ST,74,Worcester,Fall 2010,6/25/2014,Back Yard,Single-family,0,0,0,0,0,0,Removed/Missing,N,0,0,  ,,BY,SFR-D,2.1,54,0,0,12.5,10.5,Alive,0,1,Good,"Tree is here, slightly different location",AN JA CK,7/6/2023,ANelson_clarku,0,1,0,175688.5492,895232.3703,-71.79486963,42.30719634,Cornus kousa
8,968,White Fir,AIRLIE ST,74,Worcester,Fall 2010,6/23/2015,Back Yard,Single-family,0,,0,,0,0,Removed/Missing,,,,  ,,BY,SFR-D,6.6,54,0,0,26.6,14,Alive,0,1,Good,,CB CK AR,6/6/2023,CBate_clarku,0,0,1,175684.3147,895229.454,-71.79492086,42.30716995,Abies concolor
9,969,Red Oak,AIRLIE ST,87,Worcester,Fall 2010,6/23/2015,Back Yard,Single Family,0.81,4.5,0,,7,5.916666667,Alive,N,1,Good,Leaning  ,,BY,SFR-D,7.2,0,0,0,32.6,20,Alive,0,1,Good,,CB RC AR,7/6/2023,ANelson_clarku,1,0,0,175722.0771,895319.8212,-71.79446664,42.30798469,Quercus rubra
10,970,White Fir,AIRLIE ST,93,Worcester,Fall 2010,6/24/2015,Back Yard,Single-family,3,4.5,0,,10.58333333,7.25,Alive,N,1,Good, Birds nest in tree ,,BY,SFR-D,9.3,54,0,0,23,16,Alive,0,1,Good,"Looking healthy, bottom of the back was wrecked by nephew",,6/6/2023,apai_clarku,0,0,1,175770.6572,895326.8962,-71.79387771,42.30804989,Abies concolor
11,971,White Fir,AIRLIE ST,93,Worcester,Fall 2010,6/24/2015,Back Yard,Single-family,3.05,4.5,0,,11.5,6.770833333,Alive,N,1,Good,  ,,BY,SFR-D,9.9,54,0,0,23,15,Alive,0,2,Fair,"Bottom is bare and some needles are red, no chemicals used, not much pruning,",AP RC AN,6/6/2023,apai_clarku,0,0,1,175765.7972,895326.9881,-71.79393666,42.30805057,Abies concolor
12,987,Japanese Tree Lilac,ANDOVER ST,46,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,BY,MFR,4.1,0,0,0,15.6,10,Alive,0,1,Good,,CB AP KS,6/8/2023,CBate_clarku,0,1,0,175401.3114,894743.1333,-71.79833271,42.30278283,Syringa reticulata
13,1019,Crabapple,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,Tree was missing in overgrown unmanaged area dominated by black locusts and sumac trees (see photo),AN RC CK,6/8/2023,ANelson_clarku,0,1,0,175020.2959,895712.3629,-71.80299538,42.31149654,Malus sylvestris 
14,1020,Crabapple,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,In same area as tree 1019,AN CK RC,6/8/2023,ANelson_clarku,0,1,0,175013.4345,895726.5776,-71.80307921,42.3116243,Malus sylvestris 
15,1021,Crabapple,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CK AN RC,6/8/2023,CKluchman_clarku,0,1,0,175015.6639,895718.7553,-71.80305184,42.31155394,Malus sylvestris 
16,1022,Kousa Dogwood,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CKANRC,6/8/2023,racolon_clarku,0,1,0,175020.2561,895717.4186,-71.80299608,42.31154206,Cornus kousa
17,1023,Kousa Dogwood,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CKANRC,6/8/2023,racolon_clarku,0,1,0,175017.4946,895723.5015,-71.80302984,42.31159673,Cornus kousa
18,1024,Sargent Cherry,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CK AN RC,6/8/2023,CKluchman_clarku,0,1,0,175010.0732,895720.3961,-71.80311972,42.31156854,Prunus sargentii
19,1025,Sargent Cherry,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CK AN RC,6/8/2023,CKluchman_clarku,0,1,0,175014.3034,895713.134,-71.8030681,42.31150329,Prunus sargentii
20,1026,White Fir,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,4,54,0,0,17.5,9.75,Alive,0,1,Good,"an unmanaged park, overgrown with plants and other trees",CK AN RC,6/8/2023,CKluchman_clarku,0,0,1,175003.7046,895721.8847,-71.80319703,42.31158173,Abies concolor
21,1027,White Fir,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CK AN RC,6/8/2023,CKluchman_clarku,0,0,1,175008.0868,895714.4602,-71.80314356,42.31151503,Abies concolor
22,1028,White Fir,ARARAT ST,1,Worcester,Fall 2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,,MP,INST,0,0,0,0,0,0,Removed,0,0,,,CK AN RC,6/8/2023,CKluchman_clarku,0,0,1,175010.5836,895708.1094,-71.803113,42.31145794,Abies concolor
23,1050,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,1.55,,1.3,,10.08333333,6.125,Alive,N,1,Good,  ,,SY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175692.653,897976.9397,-71.79493496,42.3319053,Thuja occidentalis
24,1051,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/29/2015,,,0,,0,,0,0,,,,,  ,,SY,SFR-A,5.5,54,3.6,54,18.9,12.5,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175694.2186,897975.6641,-71.79491591,42.33189386,Thuja occidentalis
25,1052,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,2.4,,1.2,,10.25,6.25,Alive,N,1,Good,  ,,SY,SFR-A,3.8,54,5.2,54,18.9,12.5,Alive,0,1,Good,Bittersweet growing on it,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175695.2259,897973.1156,-71.79490358,42.33187095,Thuja occidentalis
26,1053,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,2.5,,1.55,,10,6.041666667,Alive,N,1,Good,  ,,FY,SFR-A,5.5,54,3.6,54,18.9,12.5,Alive,0,1,Good,,AN AR JA,6/21/2023,ANelson_clarku,0,0,1,175696.7915,897971.022,-71.7948845,42.33185215,Thuja occidentalis
27,1054,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,1.65,,1.75,,10.16666667,5.666666667,Alive,N,1,Good,  ,,SY,SFR-A,5.1,54,3.9,54,18.9,12.5,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175695.1002,897974.8958,-71.79490518,42.33188697,Thuja occidentalis
28,1055,American Arborvitae,AROOSTOOK ST,36,Worcester,Fall 2010,6/30/2015,Front Yard,Single-Family,1.1,,1.6,,11,6.208333333,Alive,N,1,Good,  ,,FY,SFR-A,5.1,54,3.9,54,18.9,12.5,Alive,0,1,Good,Bittersweet Vines growing on it,AN AR JA,6/21/2023,ANelson_clarku,0,0,1,175696.0316,897972.4769,-71.79489378,42.33186522,Thuja occidentalis
29,1056,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,,Single-Family,0,,0,,0,0,,,,,  ,,BY,SFR-A,2.7,54,0,0,10.1,7,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175620.9899,898137.0294,-71.79581122,42.33334431,Thuja occidentalis
30,1057,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,1.6,,0,,10,3.791666667,Alive,,1,Good, The pruning is abnormal ,,BY,SFR-A,6,54,0,0,15.6,10,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175622.6294,898147.5092,-71.79579177,42.33343871,Thuja occidentalis
31,1058,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,2.1,,0,,11,4.5,Alive,,1,Good, The pruning is abnormal ,,BY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175621.5306,898134.0673,-71.79580453,42.33331766,Thuja occidentalis
32,1059,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,1.58,,0,,10,3.5,Alive,,1,Good, The pruning is abnormal ,,BY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175622.0535,898140.7644,-71.79579847,42.33337797,Thuja occidentalis
33,1060,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,1.8,,0,,10,3.958333333,Alive,,1,Good, The pruning is abnormal ,,BY,SFR-A,5.2,54,0,0,15.8,10,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175620.7532,898143.7516,-71.79581437,42.33340483,Thuja occidentalis
34,1061,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,,Single-Family,0,,0,,0,0,,,,,  ,,BY,SFR-A,6,52,0,0,14.4,9.5,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175621.8323,898142.164,-71.79580121,42.33339057,Thuja occidentalis
35,1062,American Arborvitae,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Back Yard,Single-Family,0.9,,0,,7,2.5,Alive,,1,Good, Smaller because planted under a big tree ,,BY,SFR-A,5.3,54,0,0,16.7,9.75,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,0,0,1,175621.0613,898146.0571,-71.79581073,42.33342559,Thuja occidentalis
36,1063,Ginkgo,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Front Yard,Single-Family,0.68,,0.59,,6,4.416666667,Alive,,1,Good, Not sure if 1063 or 1064 has been removed ,,FY,SFR-A,0,0,0,0,0,0,Removed,0,0,Dead,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,1,0,0,175635.729,898147.9261,-71.79563284,42.33344288,Ginkgo biloba
37,1064,Ginkgo,ARROWSIC ST,3,Worcester,Fall 2010,7/2/2015,Front Yard,Single-Family,0,,0,,0,0,Removed/Missing,,,,  ,,FY,SFR-A,2.1,36,0,0,10.5,8.5,Alive,0,1,Good,,JA AN AR,6/21/2023,ARichmondCrosset_clarku,1,0,0,175630.2338,898148.2117,-71.79569952,42.33344528,Ginkgo biloba
