OBJECTID,ID,SPECIES,STREET,HOUSE_NUMBER,TOWN,SEASON_PLANTED,Observation_date_baseline,SiteType_baseline,LandUse_baseline,DBH_baseline,DBH_Height_baseline,DBH2_baseline,DBH2_Height_baseline,Height_baseline,Width_baseline,Mortality_baseline,BasalSprouts_baseline,Vigor_baseline,Condition_baseline,Comments_baseline,NOTES,SiteType_2023,LandUse_2023,DBH_2023,DBH_Height_2023,DBH2_2023,DBH2_Height_2023,Height_2023,Width_2023,Mortality_2023,BasalSprouts_2023,Vigor_2023,Condition_2023,Comments_2023,Crew_Initials,LATITUDE,LONGITUDE,SHADE,ORNAMENTAL,EVERGREEN,EditDate,Editor,x,y,Scientific.Name
187,1004,Kousa Dogwood,ARARAT ST,111,Worcester,Fall 2010,6/24/2014 0:00,BY,SFR-D,1.2,4.5,NA,,8.5,5.6,Alive,N,1,Good,,lt side of yd - centered between windows about 10' from building,SY,SFR-D,4.9,37,NA,NA,15,22.5,Alive,N,1,Good,NA,JA CK,896003.002,174356.9962,0,1,0,9/28/2023 18:42,JaAndrews_clarku,-71.81105376,42.31409162,
190,1015,Japanese Tree Lilac,ARARAT ST,171,Worcester,Fall 2010,7/7/2015 0:00,FY,SFR-D,2.5,4.5,0,,11.83,6.75,Alive,N,1,Good,,centered left of walkway,FY,SFR-D,6.8,48,NA,NA,22.3,13.5,Alive,N,1,Good,NA,"TH, CK, JA",896012.3765,173801.1128,0,0,1,9/30/2023 16:42,THonnef_clarku,-71.81779708,42.31415757,
191,1016,Kousa Dogwood,ARARAT ST,171,Worcester,Fall 2010,7/7/2015 0:00,FY,SFR-D,1.8,2.5,0,,9,8,Alive,N,1,Good,,Front yard right of walkway spaced evenly with JTL,FY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,"TH, CK, JA",896015.0431,173795.1872,0,1,0,9/30/2023 16:40,THonnef_clarku,-71.81786908,42.31418137,
184,1017,Kousa Dogwood,ARARAT ST,171,Worcester,Fall 2010,7/7/2015 0:00,BY,SFR-D,2.7,2.6,0,,10.5,11,Alive,N,1,Good,,Center left back yard,BY,SFR-D,6.4,25,NA,NA,18.9,18.5,Alive,N,1,Good,NA,"TH, CK, JA",895991.2231,173794.3906,0,1,0,9/30/2023 16:43,THonnef_clarku,-71.81787767,42.3139669,
186,1018,Sargent Cherry,ARARAT ST,171,Worcester,Fall 2010,7/7/2015 0:00,BY,SFR-D,3.7,4.5,0,,15.67,11.29,Alive,N,1,Good,,Center right backyard inline with Kousa,BY,SFR-D,10,33,NA,NA,24.3,18,Alive,N,3,Fair,Crack in bark ,"TH, CK, JA",895995.0816,173784.9428,0,0,1,9/30/2023 16:45,THonnef_clarku,-71.81799244,42.31400132,
937,1321,Blackgum,BOSTON AVE,67,Worcester,Fall 2010,6/24/2014 0:00,FY,SFR-D,1.25,1,NA,,10,5.6,Alive,N,1,Good,,centered btw house & arbs 5ft towards road from corner of house,SY,SFR-D,3.7,54,NA,NA,13.8,17.5,Alive,N,1,Good,NA,"KS, TH",889388.7439,178466.5596,0,1,0,9/16/2023 17:36,THonnef_clarku,-71.76095897,42.25466833,
936,1322,Dawn Redwood,BOSTON AVE,67,Worcester,Fall 2010,6/24/2014 0:00,FY,SFR-D,1,4.5,NA,,8.5,4.1,Alive,N,1,Good,,10 to 15ft off left corner of house toward road,FY,SFR-D,3.7,54,NA,NA,15.7,11.5,Alive,N,1,Fair,Yellowing leaves ,"KS, TH",889383.2308,178458.7672,1,0,0,9/16/2023 17:34,THonnef_clarku,-71.7610532,42.25461848,
938,1323,Ginkgo,BOSTON AVE,67,Worcester,Fall 2010,6/24/2014 0:00,BY,SFR-D,1.15,4.5,NA,,10.4,4.05,Alive,N,1,Good,,backyd lt corner about 10' out from arbs,BY,SFR-D,2.8,54,NA,NA,12.8,10.5,Alive,N,1,Good,NA,"KS, TH",889390.8036,178480.2703,1,0,0,9/16/2023 17:38,THonnef_clarku,-71.76079289,42.25468725,
1084,1367,Sargent Cherry,BRATTLE ST,18,Worcester,Fall 2010,7/7/2015 0:00,BY,SFR-D,0.7,4.5,0,,7.83,3.08,Alive,N,3,Poor,,back yd 5 zigzaged along back prop line,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,"TH, CK, JA",896116.4347,173831.1921,0,0,1,9/30/2023 17:07,THonnef_clarku,-71.81743691,42.31509539,
1083,1368,Sargent Cherry,BRATTLE ST,18,Worcester,Fall 2010,7/7/2015 0:00,BY,SFR-D,1,4.5,0,,9.17,2.63,Alive,N,1,Good,Damage at base,back yd 5 zigzaged along back prop line,BY,SFR-D,1.8,38,NA,NA,9.1,5,Alive,N,3,Poor,NA,"TH, CK, JA",896112.5323,173824.9508,0,0,1,9/30/2023 17:05,THonnef_clarku,-71.81751245,42.31506005,
1082,1369,Sargent Cherry,BRATTLE ST,18,Worcester,Fall 2010,7/7/2015 0:00,BY,SFR-D,1.7,4.5,0,,12,6.29,Alive,N,1,Good,Damage at base,back yd 5 zigzaged along back prop line,BY,SFR-D,4.8,30,NA,NA,18.5,14,Alive,N,2,Good,NA,"TH, CK, JA",896107.4156,173829.4914,0,0,1,9/30/2023 17:06,THonnef_clarku,-71.81745714,42.31501414,
1072,1370,Sargent Cherry,BRATTLE ST,18,Worcester,Fall 2010,7/7/2015 0:00,BY,SFR-D,0.9,4.5,0,,7.75,2.58,Alive,N,1,Fair,,back yd 5 zigzaged along back prop line,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,"TH, CK, JA",896097.5405,173825.8438,0,0,1,9/30/2023 17:04,THonnef_clarku,-71.81750094,42.31492511,
1081,1371,Sargent Cherry,BRATTLE ST,18,Worcester,Fall 2010,7/7/2015 0:00,BY,SFR-D,0.9,4.5,0,,7,3,Alive,N,1,Fair,,back yd 5 zigzaged along back prop line,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,"TH, CK, JA",896103.2692,173821.5657,0,0,1,9/30/2023 17:07,THonnef_clarku,-71.81755309,42.31497654,
1085,1372,Kousa Dogwood,BRATTLE ST,19,Worcester,Fall 2010,6/19/2014 0:00,BY,SFR-D,NA, ,NA, ,NA,NA,Removed,N,NA, , ,Back left,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,896134.1231,173695.3343,0,1,0,NA,NA,NA,NA,
1086,1373,Serviceberry,BRATTLE ST,19,Worcester,Fall 2010,6/19/2014 0:00,BY,SFR-D,0.6,4.5,NA,,4.5,5.3,Alive,N,2,Poor,Tree is tilted very far,back border in staggered row,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,"TH, CK, JA",896143.6281,173698.7473,0,0,1,9/30/2023 17:13,THonnef_clarku,-71.81904474,42.31533576,
1088,1374,Serviceberry,BRATTLE ST,19,Worcester,Fall 2010,6/19/2014 0:00,BY,SFR-D,NA, ,NA, ,NA,NA,Removed,N,NA, , ,back border in staggered row,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,896153.5923,173706.0701,0,0,1,NA,NA,NA,NA,
1087,1375,Serviceberry,BRATTLE ST,19,Worcester,Fall 2010,6/19/2014 0:00,BY,SFR-D,NA, ,NA, ,NA,NA,Removed,N,NA, , ,back border in staggered row,BY,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,896152.4964,173697.5721,0,0,1,NA,NA,NA,NA,
1090,1376,Dawn Redwood,BRATTLE ST,21,Worcester,Fall 2010,6/19/2014 0:00,Natural Area,SFR-D,NA, ,NA, ,NA,NA,Removed,N,NA, , ,back left,Natural Area,SFR-D,NA,NA,NA,NA,NA,NA,Removed,NA,NA,NA,NA,NA,896161.8212,173718.1378,1,0,0,NA,NA,NA,NA,
1776,1766,Crabapple,CHEVY CHASE RD,27,Worcester,Fall 2010,7/7/2015 0:00,FY,SFR-D,0.9,,0,,7.33,4.83,Alive,N,1,Good,Scarring on trunk,15ft from roadside,FY,SFR-D,4.2,22,NA,NA,14.1,14.5,Alive,N,1,Good,NA,"TH, CK, JA",896498.9025,173973.6145,0,1,0,9/30/2023 18:12,THonnef_clarku,-71.81572647,42.31854343,
